29171930,20.11,26.72
30039037,30.75,38.24
29182930,20.11,21.81
30039033,30.75,38.24
30049023,26.75,34.24
29224210,20.11,21.81
29224931,20.11,21.81
29242944,20.11,21.81
29242947,20.11,21.81
29333933,20.11,21.81
29181100,20.11,26.72
30039036,30.75,38.24
30049026,26.75,34.24
29400021,20.11,26.72
29159041,20.11,21.81
29161520,20.11,21.81
29171921,20.11,26.72
29161310,20.11,21.81
29041011,20.11,21.81
29319051,20.11,21.81
29159031,20.11,21.81
29154010,20.11,26.72
29339992,20.11,21.81
29362951,20.11,21.81
29333913,20.11,21.81
28080010,31.45,37.15
29182211,20.11,26.72
30039034,30.75,38.24
30049024,26.75,34.24
28100010,31.45,37.15
29173920,20.11,26.72
29171110,20.11,21.81
29157011,20.11,21.81
28111930,31.45,37.15
29182921,20.11,21.81
29089913,20.11,21.81
28092030,31.45,33.15
29156021,20.11,21.81
29155010,20.11,21.81
29181922,20.11,21.81
30039017,30.75,31.35
30045060,30.75,31.35
29182110,20.11,26.72
29171321,20.11,21.81
29214211,20.11,21.81
28070010,31.45,34.20
28070020,31.45,34.20
29309011,20.11,21.81
29161921,20.11,21.81
29041053,20.11,27.60
29156011,20.11,21.81
29189921,20.11,26.72
29049021,20.11,21.81
38249021,36.55,38.25
29182910,20.11,21.81
28092020,31.45,33.15
29189992,20.11,26.72
29349934,20.11,27.60
29172000,20.11,21.81
28080020,31.45,37.15
29041030,20.11,27.60
29189930,20.11,21.81
54011012,31.45,40.61
54012012,31.45,40.61
85414027,31.85,32.45
29241931,20.11,21.81
29371910,20.11,21.81
30032072,30.75,31.35
30042072,30.75,31.35
17011300,34.12,42.46
17022000,31.45,39.79
84798932,29.42,38.58
29269091,20.11,26.72
38244000,36.55,44.04
31010000,31.45,34.20
38249077,31.45,32.05
31056000,20.11,22.86
31052000,20.11,23.88
48172000,34.12,42.46
26020010,31.45,33.15
68042111,31.45,35.22
68042211,31.45,35.22
22072020,35.60,45.55
27101230,31.45,32.05
33019030,38.25,45.74
15200020,31.45,37.15
22021000,32.04,41.99
33030020,47.07,56.23
90183910,25.66,34.00
85229010,42.67,51.01
73023000,31.45,38.06
3028911,20.11,25.81
3038931,20.11,25.81
7094000,20.11,25.81
20089300,31.45,38.94
8104000,20.11,25.81
29242942,20.11,27.60
85311010,38.07,47.23
29339953,20.11,27.60
30039073,30.75,38.24
30049063,26.75,34.24
49030000,31.45,39.79
27060000,31.45,32.05
38070000,31.45,38.94
29094950,20.11,21.81
29269021,20.11,21.81
29052910,20.11,21.81
29051720,20.11,21.81
29051730,20.11,21.81
29061940,20.11,21.81
29321310,20.11,26.72
